Date,Marino,Coleraine St.,Phoenix Park,Wood Quay,Rathmines
01-Jan-12,34.7,6.7,7.9,10.7,12.9
02-Jan-12,6.8,5.7,3.7,9.9,9
03-Jan-12,7.8,5.4,5.8,8.1,11.8
04-Jan-12,6.1,4.2,7.8,9.6,9.1
05-Jan-12,13.5,10.2,17.9,17.6,22.9
06-Jan-12,5.3,7.3,11.9,13.6,14
07-Jan-12,7.1,7.8,16.2,,18.7
08-Jan-12,5.3,4.5,8.6,8.9,8
09-Jan-12,6.9,7,9.2,12.6,12.2
10-Jan-12,2.4,2.3,4.7,29,5.2
11-Jan-12,4.4,1.9,2.8,8.3,7.3
12-Jan-12,10,10.8,13.2,15.1,33.4
13-Jan-12,25.3,51.5,28.2,44.7,65.7
14-Jan-12,19.3,39.2,29.4,40.8,39.6
15-Jan-12,9,11.4,21.3,18.5,23.8
16-Jan-12,13.9,15.1,23.7,23.9,26.2
17-Jan-12,11.7,8.6,9.6,13.9,12.7
18-Jan-12,8.9,9.4,14.5,17.4,17.1
19-Jan-12,6.7,7.8,9.1,12.1,10.7
20-Jan-12,7.1,7,8.8,13.6,11.7
21-Jan-12,8.8,8.8,12.2,13.3,16.2
22-Jan-12,9.7,9.8,16,19.2,20.2
23-Jan-12,16.1,13,13.4,20.1,17.1
24-Jan-12,6.7,7.7,4.6,10.7,5.1
25-Jan-12,4,4.9,4.5,9.3,7.3
26-Jan-12,1.4,4.7,5,6.8,6.8
27-Jan-12,4.9,9.2,8.6,11.7,13
28-Jan-12,21.4,24.1,20.5,25.6,36.1
29-Jan-12,5.8,10.3,9.7,14,33.2
30-Jan-12,5.6,11.7,10.9,11.1,12.6
31-Jan-12,15,24,23,20.3,27.1
01-Feb-12,26.9,42.2,22.7,40,53.6
02-Feb-12,12.5,16.9,44.5,,27.5
03-Feb-12,15,30.4,23.6,31.9,32.9
04-Feb-12,17.8,10,9.5,10,14.6
05-Feb-12,15.8,15.3,15.8,17.4,25.4
06-Feb-12,13.5,14.7,13.3,14.2,17.8
07-Feb-12,12.6,11.2,13.8,13.9,14.9
08-Feb-12,20.1,23.7,30.2,31.7,36.7
09-Feb-12,15.1,12.8,10.5,2.9,20.8
10-Feb-12,,9,18.6,18.9,23.7
11-Feb-12,16.1,,8.6,15.7,14.9
12-Feb-12,16.4,,12.1,16.3,17.8
13-Feb-12,8.6,,8.5,12.2,13.3
14-Feb-12,10.7,,16.2,20.1,21
15-Feb-12,8.7,,6.1,7.5,6.2
16-Feb-12,8.2,,9.9,11.3,12.1
17-Feb-12,3.9,,2.3,4.4,4.6
18-Feb-12,5.7,,6.9,6.5,8.8
19-Feb-12,10.4,,12.7,12.4,17.8
20-Feb-12,5.1,,7,8.7,8.1
21-Feb-12,2.2,,4.6,5.8,0
22-Feb-12,,,2.3,4.2,1
23-Feb-12,,19.1,2.4,6,5.6
24-Feb-12,,,7.5,9.3,11.4
25-Feb-12,,3.3,12.3,17.1,17.2
26-Feb-12,,6.8,3.6,7.8,6.5
27-Feb-12,,10.7,2.8,6,5.7
28-Feb-12,,4.6,5.6,10.6,12.6
29-Feb-12,,3,9.9,6.2,10.6
01-Mar-12,,7,,16.1,
02-Mar-12,,6.5,23.6,,24.9
03-Mar-12,10.7,13.3,11.5,16,12.8
04-Mar-12,6.1,29.8,6.9,8.6,22.6
05-Mar-12,12.4,8.9,12.9,16.5,15
06-Mar-12,8.2,5.8,8.6,17.1,9.8
07-Mar-12,4.3,,10.9,16.7,15.9
08-Mar-12,5.6,,17.9,22.4,23.5
09-Mar-12,3.8,9.9,11,11.4,14.1
10-Mar-12,1,7.2,4.4,6.4,8.9
11-Mar-12,7.9,6.5,8.6,6.5,11.1
12-Mar-12,8.9,9.3,18,17.2,22.2
13-Mar-12,15.8,14,20.1,18.6,21.5
14-Mar-12,21.9,17.8,28.9,31.7,31.1
15-Mar-12,25.1,32.7,27.2,28.3,36.8
16-Mar-12,,25.2,8.8,6.4,9.6
17-Mar-12,,7.2,9.6,10.8,11.6
18-Mar-12,,8,6.8,6.3,7.5
19-Mar-12,,8.1,9.5,9,10.1
20-Mar-12,,9.2,9.6,11.1,10.3
21-Mar-12,,,8.5,10,10.3
22-Mar-12,,40.3,47.1,43.5,50.4
23-Mar-12,,25.2,19.6,21.7,22.9
24-Mar-12,,31.8,35.2,32.9,37.8
25-Mar-12,,40.8,40.8,39,43.6
26-Mar-12,,36.2,35,44.3,37.5
27-Mar-12,,35.7,33.8,47.6,41
28-Mar-12,33.5,43.3,40.5,40.4,49.6
29-Mar-12,25,34.9,38.6,41.8,39.8
30-Mar-12,9.7,12.5,22.2,24.9,24.5
31-Mar-12,8.1,7.9,9.1,9.7,15
01-Apr-12,17.5,18.7,20.3,22.6,19
02-Apr-12,12.5,13.3,14.2,15.3,17.1
03-Apr-12,9,6.1,7.7,22.1,6.6
04-Apr-12,4.3,4.9,9.1,11.8,12.8
05-Apr-12,6.7,39.9,11.1,11,15.2
06-Apr-12,5.8,6.5,8.1,10.4,8.6
07-Apr-12,2.6,3.3,4.7,3.5,4.5
08-Apr-12,5.3,4,8.5,5,8.2
09-Apr-12,4.2,1.8,4.5,1.7,2.9
10-Apr-12,5.1,4.3,4.7,4.2,7
11-Apr-12,8.5,6.6,6.3,7.9,9.2
12-Apr-12,6.1,7.2,11.6,10.1,14.3
13-Apr-12,5.6,7.8,13.2,9.7,14.2
14-Apr-12,8.6,6.5,14,13.9,17
15-Apr-12,6.7,7.2,12,11.4,16.4
16-Apr-12,7.6,7.1,7.6,11.9,9.2
17-Apr-12,31,3.8,5.4,9.9,7.5
18-Apr-12,6.3,6.1,7.7,8.1,10.1
